Date,AAPL,AMZN,GOOGL,META,MSFT
2018-01-02,40.61587905883789,59.45050048828125,53.59898376464844,181.04795837402344,79.93673706054688
2018-01-03,40.608821868896484,60.209999084472656,54.51343536376953,184.29129028320312,80.30876159667969
2018-01-04,40.797447204589844,60.47949981689453,54.725189208984375,183.95199584960938,81.01557922363281
2018-01-05,41.261924743652344,61.457000732421875,55.45085906982422,186.46682739257812,82.02003479003906
2018-01-08,41.10866928100586,62.34349822998047,55.64663314819336,187.89389038085938,82.10370635986328
2018-01-09,41.10396194458008,62.6349983215332,55.575714111328125,187.48472595214844,82.04791259765625
2018-01-10,41.09452819824219,62.71649932861328,55.44336700439453,187.4547882080078,81.6759033203125
2018-01-11,41.32795715332031,63.83399963378906,55.538761138916016,187.3849334716797,81.91773223876953
2018-01-12,41.75471496582031,65.26000213623047,56.46769332885742,179.0021514892578,83.33138275146484
2018-01-16,41.54251480102539,65.24299621582031,56.47018814086914,178.024169921875,82.16881561279297
2018-01-17,42.2286491394043,64.75,56.88970947265625,177.2357940673828,83.83358764648438
2018-01-18,42.26636505126953,64.66600036621094,56.7333869934082,179.4312744140625,83.79639434814453
2018-01-19,42.0777473449707,64.72899627685547,57.10945510864258,180.918212890625,83.70338439941406
2018-01-22,41.7335090637207,66.3655014038086,58.141273498535156,184.98985290527344,85.20073699951172
2018-01-23,41.742923736572266,68.12699890136719,58.74108123779297,188.9617156982422,85.47046661376953
2018-01-24,41.07802200317383,67.87550354003906,58.49736022949219,186.16744995117188,85.39604949951172
2018-01-25,40.34474563598633,68.89749908447266,59.03923797607422,187.09552001953125,85.87037658691406
2018-01-26,40.439048767089844,70.10250091552734,59.30992889404297,189.61036682128906,87.47933959960938
2018-01-29,39.60203170776367,70.88400268554688,59.2559928894043,185.59860229492188,87.34912109375
2018-01-30,39.36859130859375,71.89099884033203,58.8010139465332,186.7362518310547,86.25170135498047
2018-01-31,39.4770622253418,72.54450225830078,59.043235778808594,186.50672912597656,88.36287689208984
2018-02-01,39.5595817565918,69.5,59.01177215576172,192.6940155029297,87.66535186767578
2018-02-02,37.84308624267578,71.49749755859375,55.89584732055664,189.88978576660156,85.3588638305664
2018-02-05,36.89760971069336,69.5,53.0586051940918,180.88827514648438,81.84330749511719
2018-02-06,38.43960952758789,72.14199829101562,54.15934371948242,184.9299774169922,84.94033813476562
2018-02-07,37.61672592163086,70.83899688720703,52.71000671386719,179.8105010986328,83.34068298339844
2018-02-08,36.5816535949707,67.5250015258789,50.32773971557617,171.2281494140625,79.06250762939453
2018-02-09,37.02908706665039,66.9800033569336,52.2535285949707,175.74884033203125,82.01072692871094
2018-02-12,38.52058410644531,69.3115005493164,52.66755294799805,176.04824829101562,82.89424896240234
2018-02-13,38.90646743774414,70.72550201416016,52.64657974243164,172.794921875,83.5452880859375
2018-02-14,39.623802185058594,72.55249786376953,53.57351303100586,179.15185546875,84.85344696044922
2018-02-15,40.95430374145508,73.08799743652344,54.50544357299805,179.59095764160156,86.58210754394531
2018-02-16,40.82172775268555,72.43450164794922,54.71220779418945,176.9962921142578,85.96539306640625
2018-02-20,40.68442153930664,73.4175033569336,55.11624526977539,175.6490478515625,86.63817596435547
2018-02-21,40.499759674072266,74.14600372314453,55.623661041259766,177.54515075683594,85.48884582519531
2018-02-22,40.83831024169922,74.26699829101562,55.43138122558594,178.62295532226562,85.71310424804688
2018-02-23,41.54853820800781,75.0,56.339839935302734,182.9141082763672,87.89026641845703
2018-02-26,42.37003707885742,76.09750366210938,57.11944580078125,184.55075073242188,89.16106414794922
2018-02-27,42.23272705078125,75.5989990234375,55.81144714355469,181.08787536621094,88.02110290527344
2018-02-28,42.16880416870117,75.62249755859375,55.13272476196289,177.95433044433594,87.61930847167969
2018-03-01,41.43016052246094,74.67250061035156,53.50908660888672,175.57919311523438,86.7596435546875
2018-03-02,41.71662521362305,75.01249694824219,54.144859313964844,176.25779724121094,86.94651794433594
2018-03-05,41.86104965209961,76.18049621582031,54.67524719238281,180.03004455566406,87.49781799316406
2018-03-06,41.82551574707031,76.88200378417969,54.981895446777344,179.4113311767578,87.19880676269531
2018-03-07,41.4372673034668,77.25,55.688087463378906,183.33326721191406,87.7033920288086
2018-03-08,41.88943862915039,77.59300231933594,56.404266357421875,181.966064453125,88.23600006103516
2018-03-09,42.6091423034668,78.94450378417969,57.975460052490234,184.8501434326172,90.2076187133789
2018-03-12,43.02108383178711,79.91950225830078,58.229671478271484,184.381103515625,90.4225082397461
2018-03-13,42.606773376464844,79.40899658203125,56.93016052246094,181.50701904296875,88.21732330322266
2018-03-14,42.24455642700195,79.55000305175781,57.37864685058594,183.81228637695312,87.69406127929688
2018-03-15,42.294281005859375,79.11599731445312,57.46454620361328,183.4829559326172,88.00239562988281
2018-03-16,42.14512634277344,78.58399963378906,56.655975341796875,184.71041870117188,88.39483642578125
2018-03-19,41.50119400024414,77.24649810791016,54.94044876098633,172.2061309814453,86.79700469970703
2018-03-20,41.48698806762695,79.32550048828125,54.72719192504883,167.80517578125,87.02127075195312
2018-03-21,40.54711151123047,79.09300231933594,54.63729476928711,169.04263305664062,86.41392517089844
2018-03-22,39.97418212890625,77.24600219726562,52.597137451171875,164.55186462402344,83.90034484863281
2018-03-23,39.048519134521484,74.77799987792969,51.26865768432617,159.06314086914062,81.46155548095703
2018-03-26,40.9022216796875,77.79299926757812,52.64407730102539,159.73175048828125,87.62863159179688
2018-03-27,39.85344696044922,74.85250091552734,50.289283752441406,151.9078369140625,83.60134887695312
